,d',triangle,twoAFC,threeAFC,fourAFC,tetu,tets,duotrio,dualpair
23,1.1500000000000001,0.44255933603010505,0.7919405035700349,0.6761323646315581,0.5989992279220363,0.5367674442460924,0.513935434555493,0.6054714995056505,0.594485828234405
24,1.2000000000000002,0.4511807043419355,0.801928045423963,0.6898004349389699,0.6143573116525375,0.5514895580600278,0.5310072586066048,0.6134627132508561,0.6019233096911243
25,1.25,0.4599991385054137,0.8116204410942089,0.7032045865493268,0.6295284197787969,0.5663365818204713,0.5479977749043485,0.6215836874104205,0.6095255452292332
26,1.3,0.4689976697394217,0.8210146636778359,0.7163306860694781,0.6444910302271362,0.5812640895665686,0.564876424455373,0.6298148310997813,0.617277012103691
27,1.35,0.47815937442483303,0.8301085128220906,0.7291657280052833,0.659224621302247,0.5962288607327708,0.581613395581849,0.638136877364362,0.6251621700924088
28,1.4000000000000001,0.4874674306987649,0.8389005969187092,0.7416978651694965,0.6737097523236025,0.6111890730031492,0.5981797778596497,0.6465309596902937,0.6331655135481105
29,1.4500000000000002,0.49690517247661165,0.847390311892704,0.7539164315383722,0.6879281358271363,0.6261044785826725,0.6145477067334221,0.6549786830832658,0.6412716219794453
30,1.5,0.5064561406727618,0.8555778168267576,0.765811957590686,0.7018627009324004,0.6409365630557136,0.6306904976672363,0.6634621893935234,0.6494652089369619
31,1.55,0.5161041314225874,0.863464006677663,0.7773761782280597,0.7154976475690906,0.6556486862015869,0.6465827688330146,0.6719642166307568,0.6577311689965613
32,1.6,0.5258332411404073,0.8710504823538303,0.7886020334377186,0.7288184913516672,0.670206204335553,0.6622005514914655,0.6804681520783413,0.6660546226510664
33,1.6500000000000001,0.535627908280273,0.8783395184327227,0.7994836619174724,0.7418120989855248,0.684576573938998,0.6775213873792403,0.6889580790812824,0.6744209589393694
34,1.7000000000000002,0.545472951698273,0.8853340288041762,0.8100163879372128,0.7544667141815934,0.6987294365321455,0.6925244125789247,0.6974188174455476,0.6828158756620757
35,1.75,0.5553536055462491,0.8920375305299298,0.8201967017610636,0.7667719741472095,0.7126366849245347,0.7071904275127261,0.7058359574475465,0.691225417052471
36,1.8,0.565255550657047,0.8984541062114161,0.8300222339990987,0.7787189168085212,0.726272511150731,0.7215019528638758,0.7141958875106833,0.6996360087918105
37,1.85,0.5751649424104277,0.9045883651570114,0.8394917242969083,0.790299979002554,0.7396134365595882,0.7354432713894563,0.722485815660625,0.7080344902781814
38,1.9000000000000001,0.5850684350962542,0.910445403636639,0.8486049848049995,0.801508985954523,0.7526383246734429,0.749000455742426,0.7306937849216901,0.716408144078363
39,1.9500000000000002,0.5949532028173735,0.9160307645059939,0.857362858897905,0.8123411324271684,0.7653283775676458,0.7621613825670042,0.7388086828631656,0.7247447225120354
40,2.0,0.604806956998486,0.9213503964748574,0.865767175634832,0.8227929559932292,0.7776671166399,0.7749157332685503,0.7468202455460692,0.7330324713371961
41,2.0500000000000003,0.6146179605891573,0.9264106132841863,0.8738207004697509,0.8328623029390313,0.7896403487422622,0.787254981985037,0.7547190561576483,0.741260150524617
42,2.1,0.6243750390687972,0.9312180530450483,0.8815270827290301,0.8425482873562022,0.8012361187359323,0.7991723714008939,0.7624965386525554,0.7494170521274452
43,2.15,0.6340675883788832,0.9357796379792719,0.8888908003792487,0.8518512440193922,0.8124446495999152,0.810662877144376,0.7701449467461156,0.7574930152695356
44,2.2,0.6436855799228535,0.9401025347870409,0.8959171026068643,0.860772675680449,0.8232582712793063,0.8217231615958769,0.7776573486263327,0.7654784382926498
45,2.25,0.6532195627869468,0.9441941158508539,0.9026119507252492,0.8693151954337329,0.8336713394975996,0.8323515180063286,0.7850276077673747,0.7733642881182106
46,2.3000000000000003,0.6626606633458365,0.9480619214684575,0.9089819579135764,0.8774824648232206,0.8436801457805027,0.842547805881723,0.7922503602383308,0.7811421068937465
47,2.35,0.6720005824252132,0.951713623289787,0.915034328276501,0.8852791283699533,0.8532828199468951,0.8523133786318997,0.7993209889072308,0.7888040160074625
48,2.4000000000000004,0.6812315901996265,0.9551569891148177,0.9207767956939622,0.8927107451985442,0.8624792263166366,0.861651004509318,0.8062355949419044,0.796342717566449
49,2.45,0.690346519007948,0.9583998491907393,0.9262175629071719,0.8997837184342216,0.8712708548658172,0.8705647818770204,0.8129909670065112,0.8037514934448668
50,2.5,0.6993387542709041,0.9614500641282291,0.9313652412604151,0.9065052230277834,0.8796607085288709,0.879060049845088,0.8195845485458239,0.8110242020180047
51,2.5500000000000003,0.7082022236953653,0.9643154945379894,0.9362287914891602,0.912883132645363,0.8876531878048693,0.8871432953023777,0.8260144035389329,0.8181552727063495
52,2.6,0.71693138494861,0.9670039724703262,0.9408174659136426,0.9189259462337148,0.895253973773537,0.894822057346223,0.8322791810903694,0.8251396984607973
53,2.6500000000000004,0.7255212119827606,0.9695232747225335,0.9451407523640244,0.9246427148404153,0.9024699105663597,0.9021048300781416,0.8383780792100887,0.8319730263258103
54,2.7,0.7339671801851657,0.971881098061362,0.9492083201289438,0.9300429692326807,0.9093088882709025,0.9090009646895981,0.8443108081147291,0.8386513462217626
55,2.75,0.7422652505248551,0.9740850363910452,0.9530299681841955,0.9351366488190761,0.9157797271734343,0.9155205717097831,0.8500775533614848,0.8451712780909351
56,2.8000000000000003,0.7504118528584737,0.9761425598813244,0.9566155759228891,0.9399340323359828,0.9218920641674627,0.9216744242284245,0.8556789391031956,0.8515299575536568
57,2.85,0.7584038685514768,0.9780609960547931,0.9599750565731305,0.9444456707159895,0.927656242075085,0.9274738628421779,0.8611159917292732,0.857725020221988
58,2.9000000000000004,0.766238612562013,0.9798475128187296,0.9631183134544484,0.9486823225090643,0.9330832025453699,0.9329307030043775,0.8663901041322277,0.8637545848181896
